Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/4754,KOWLOON MONGKOK 1812 GUEST HOUSE,"Flat 1812, 18/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",九龍旺角1812賓館,九龍旺角彌敦道607號新興大廈18字樓1812室,3679 8717,,mk1812mk@qq.com
H/4755,ARAFAT HOTEL,"Flat 7, 7/F, Man Wah Building, 1-23 Man Ying Street,Jordan, Kowloon.",珍寶賓舘,九龍佐敦文英街1-23號文華樓7字樓7室,3480 0445,,jan0262@yahoo.com.hk
H/4756,BLESSING HOSTEL,"Flat 1804, 18/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",幸福旅館,九龍旺角彌敦道607號新興大廈18字樓1804室,6977 0058,3549 7447,hau1328@yahoo.com.hk
H/4758,RELIANCE LODGE,"Flat B, 9/F, Lyton Building,32-48 Mody Road, Tsim Sha Tsui,Kowloon.",萊爵賓館,九龍尖沙咀麼地道32-48號麗東大廈9字樓B室,,,
H/4759,AUBERGE DISCOVERY BAY HONG KONG,"88 Siena Avenue, Discovery Bay,Lantau Island.",香港愉景灣酒店,大嶼山愉景灣海澄湖畔路88號,,,interest@dbnewhotel.com
H/4760,K & B HOSTEL,"Flat H & I, 13/F, New Lucky House,15 Jordan Road,Jordan, Kowloon.",K & B HOSTEL,九龍佐敦佐敦道15號華豐大廈13字樓H & I室,6888 4481,,hakkas@live.hk
H/4761,BERLIN HOTEL,"Flat A, B & Flat Roof of 1/F,2 Tak Hing Street, Jordan, Kowloon.",柏林酒店,"九龍佐敦德興街2號1字樓A,B室及平台",2714 4112,,
H/4762,MANILA GUEST HOUSE,"Flat B8, 6/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui,Kowloon.",馬來賓館,九龍尖沙咀彌敦道40號重慶大廈B座6字樓B8室,9232 3231,3743 5893,shweta_sahai@yahoo.com
H/4764,PARK HOSTEL,"Flat A, 5/F, Rex Building,648 - 652 Nathan Road, Mongkok,Kowloon.",柏萊賓館,九龍旺角彌敦道648-652號皇上皇大廈5字樓A室,2393 9090,2393 9094,
H/4765,YHA MEI HO HOUSE YOUTH HOSTEL,"LG/F, G/F-5/F, Mei Ho House,Shek Kip Mei Estate, Shum Shui Po,Kowloon.",YHA 美荷樓青年旅舍,"九龍深水埗石硤尾邨美荷樓地下低層, 地下-5字樓.",3728 3500,3755 4378,terence@yha.org.hk
H/4771,CALIFORNIA HOTEL 3,"Flat A, B1(Portion), G(Portion) and H, 4/F, Golden Crown Court, 68 Nathan Road, Tsim Sha Tsui, Kowloon.",加洲酒店3,"九龍尖沙咀彌敦道68號金冠大廈4字樓A, B1(部分), G(部分)及H室",2723 1312,,booking@californiahotelhk.com
H/4772,SING FAI GUESTHOUSE FIRST BRANCH,"9/F, Hang Lung Mansion,44 Dundas Street,Yau Ma Tei, Kowloon.",星輝賓館第一分店,九龍油麻地登打士街44號恒隆大廈9字樓,2782 3933,2782 3898,singfaihotel@yahoo.com.hk
H/4773,RELIANCE WESTIN,"Flat F4, 16/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",萊頓賓館,九龍尖沙咀彌敦道58號美麗都大廈16字樓F4室,,,
H/4776,YUE KA HOSTEL,"5/F, 99 Argyle Street,Mong Kok, Kowloon.",裕家賓館,九龍旺角亞皆老街99號5字樓,,2177 2227,yuekahotel@yahoo.com.hk
H/4777,富麗宮賓館,"1/F, Yue Yee Mansion,80 Shung Ling Street,San Po Kong, Kowloon.",富麗宮賓館,九龍新蒲崗崇齡街80號如意樓1字樓,2725 1863,,
H/4780,JIN XIANG HOSTEL (JIU LONG),"Flat A, 14/F, Lai Shing Building,15-17 Man Ming Lane,Yau Ma Tei, Kowloon.",金翔賓館 (九龍),九龍油麻地文明里15-17號麗星大廈14字樓A室,6061 2471,2385 0609,
H/4785,GARDEN GUESTHOUSE GROUP LIMITED,"Flat A, 8/F, Tung Lok Building,34-36 Nullah Road, Mong Kok,Kowloon.",花園賓館集團有限公司,九龍旺角水渠道34-36號東樂大樓8字樓A室,2362 3838,,
H/4787,GOLD MOON HOTEL,"Flat 2206, 22/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",金月酒店,九龍旺角彌敦道607號新興大廈22字樓2206室,6139 6009,,tam2815312@gmail.com
H/4788,ROYAL CENTURY HOTEL,"Flat G, 6/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",皇廷世紀酒店,九龍旺角彌敦道739號金輪大廈6字樓G室,6699 0577,,
H/4789,SPRING GUEST HOUSE,"Flat A, 8/F, New Lucky House,15 Jordan Road, Jordan,Kowloon.",永春賓館,九龍佐敦佐敦道15號華豐大廈8字樓A室,6888 4481,,hakkas@live.hk
H/4792,MANILA HOTEL,"Flat 7, 10/F, Block D,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",MANILA HOTEL,九龍尖沙咀彌敦道40號重慶大廈D座10字樓7室,,,
H/4796,SING YUET HOSTEL,"Flat A(Portion) & B, 10/F, Yuen King Building,26 Sai Yeung Choi Street South,Mong Kok, Kowloon.",昇悅賓館,九龍旺角西洋菜南街26號遠景大廈10字樓A室(部分)及B室,2770 1015,2388 5077,
H/4799,SENTOSA HOTEL,"Flat 1307, 13/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",勝淘沙旅館,九龍旺角彌敦道607號新興大廈13字樓1307室,2489 2990,3914 7502,Polly@Sentosa.com.hk
H/4805,SUNNY DAY GUEST HOUSE,"Flat 13, 11/F,Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",天晴賓館,九龍旺角彌敦道607號新興大廈11字樓13室,,,
H/4806,LODGEWOOD BY NINA HOSPITALITY - MONG KOK,"G/F-3/F, 5/F-12/F,15/F-21/F and R/F, 1131-1135 Canton Road, Mong Kok, Kowloon.",旺角薈賢居,"九龍旺角廣東道1131-1135號地下-3字樓, 5-12字樓, 15-21字樓及天台",22802979,22802755,
H/4809,TONG FONG HOTEL,"Flat F, 3/F, Mong Kok Building,546 Nathan Road,Mong Kok, Kowloon.",東方酒店,九龍旺角彌敦道546號旺角大樓3字樓F室,6300 0885,2332 1099,
H/4810,KATHMANDU GUEST HOUSE,"Flat B7, 12/F, Block B,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",KATHMANDU GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈B座12字樓B7室,3107 1146,,chhetridhana@ymail.com
H/4811,TSUEN HOSTEL 1,"1/F, 17 Sze Pei Square, Tsuen Wan, New Territories.",荃旅店 1,新界荃灣四陂坊17號1字樓,2439 6911,2439 6922,24396911@tsuenhotel.com.hk
H/4812,COURTYARD BY MARRIOTT HONG KONG SHA TIN,"G/F(Portion), 1/F(Portion) & 2/F-R/F,1 On Ping Street, Sha Tin, New Territories.",香港沙田萬怡酒店,"新界沙田安平街1號地下(部分), 1字樓(部分)及2字樓-頂樓",3940 8888,3940 8828,
H/4817,HONG KONG GUESTHOUSE,"Flat H, 1/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",香港賓館,九龍旺角彌敦道739號金輪大廈1字樓H室,2720 6688,3586 8174,mkhkhotel@yahoo.com.hk
H/4820,RESIDENCE G,"Portion of G/F, Portion of 1/F, Portion of 2/F,3/F, 4/F-11/F, Roof & Upper Roof Floor,2-2A Austin Avenue,Tsim Sha Tsui, Kowloon.",RESIDENCE G,"九龍尖沙咀柯士甸路2-2A號地下部份, 1字樓部份,2字樓部份, 3字樓, 4-11字樓, 天台及高層天台",2355 8888,,rm@residenceghongkong.com
H/4822,TAI WAH GUEST HOUSE,"Flat B4, 7/F, Mirador Mansion,58 Nathan Road,Tsim Sha Tsui, Kowloon.",大華賓館,九龍尖沙咀彌敦道58號美麗都大廈7字樓B4室,5270 4448,,
H/4823,CAREFREE HOSTEL,"Flat 1706, 17/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",逍遙賓館,九龍旺角彌敦道607號新興大廈17字樓1706室,,,
H/4826,JOY INN LIMITED,"2/F, 11 Lock Road, Tsim Sha Tsui,Kowloon.",JOY INN LIMITED,九龍尖沙咀樂道11號2字樓,6272 3568,,ykk62723@gmail.com
H/4827,恒豐賓館,"Flat A, B, 14/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",恒豐賓館,"九龍佐敦佐敦道15號華豐大廈14字樓A,B室",9236 8810,,
H/4833,NOBLE PARK HOTEL,"G/F-16/F and R/F, 2 Mau Lam Street,Yau Ma Tei, Kowloon.",逸林酒店,九龍油麻地茂林街2號1-16字樓及天台,3586 1888,3544 8868,info@nobleparkhk.com
H/4835,GOLDEN ISLAND HOSTEL,"Flat 10, 8/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",金島賓館,九龍油麻地彌敦道385號平安大樓8字樓10室,2783 7952,2710 8821,
H/4838,SANDHU GUEST HOUSE,"Flat D3, 14/F, Block D,Chungking Mansion, 40 Nathan Road,Tsim Sha Tsui, Kowloon.",SANDHU GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座14字樓D3室,2721 2900,2111 4508,sandhuhotelhk@gmail.com
H/4842,VINCENT HILL GUEST HOUSE,"Flat A11, 8/F, Mirador Mansion,58 Nathan Road,Tsim Sha Tsui, Kowloon.",珀麗賓館,九龍尖沙咀彌敦道58號美麗都大廈8字樓A11室,2882 7777,2723 8233,lilygardenguesthouse@ymail.com
H/4844,DELUXE INN GUEST HOUSE,"Flat C & D, 1/F, Nam Wan Building,151-153 Cheung Sha Wan Road,Sham Shui Po, Kowloon.",豪華賓館,九龍深水埗長沙灣道151-153號南灣大廈1字樓C&D室,9223 3569,2353 0426,
H/4847,KANG NAI XING HOTEL,"Flat 20, 7/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",康乃馨酒店,九龍油麻地彌敦道385號平安大樓7字樓20室,5139 1828/6341 9991,,alexdeng326@outlook.com
H/4848,APPLE INN,"Flat L, 10/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",蘋果旅館,香港銅鑼灣利園山道70號鳳鳴大廈10字樓L室,2910 7997,3157 7422,info@applehotel.hk
H/4852,EASTERN HOTEL,"Flat C, 3/F, Cheung Hing House,7 Changsha Street, Mongkok,Kowloon.",東方酒店,九龍旺角長沙街7號祥興樓3字樓C室,2374 2616,2374 2620,
H/4855,DELTA DELUXE HOTEL,"Flat A6, Block A, 16/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",DELTA DELUXE HOTEL,九龍尖沙咀彌敦道40號重慶大廈A座16字樓A6室,2311 2179,,ashokahotel001@gmail.com
H/4856,TSUEN HOSTEL 2,"2/F, 17 Sze Pei Square, Tsuen Wan, New Territories.",荃旅店 2,新界荃灣四陂坊17號2字樓,2439 6911,2439 6922,24396911@tsuenhotel.com.hk
H/4857,MEI KING APARTMENT,"Flat 22, 4/F, Mei King Mansion, Phase II,78 Lok Shan Road,To Kwa Wan, Kowloon.",美景賓館,九龍土瓜灣落山道78號美景樓第二期4字樓22室,2387 8269,,
H/4859,RAMADA HONG KONG GRAND,"23 Austin Avenue,Tsim Sha Tsui,Kowloon.",華美達華麗酒店,九龍尖沙咀柯士甸路23號,3122 6222,27309328,
H/4864,CEBU HOSTEL,"Flat 4, 3/F, Block E, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",CEBU HOSTEL,九龍尖沙咀彌敦道40號重慶大廈E座3字樓4室,6490 0007,,cebuhostel@gmail.com
H/4868,SIMPLY HOSTEL,"Flat H, 11/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",淳一賓館,九龍佐敦佐敦道15號華豐大廈11字樓H室,,,
H/4869,TSUEN HOSTEL 3,"3/F, 17 Sze Pei Square, Tsuen Wan, New Territories.",荃旅店 3,新界荃灣四陂坊17號3字樓,2439 6911,2439 6922,24396911@tsuenhotel.com.hk
H/4870,RESIDENCE G,"12/F-18/F,2-2A Austin Avenue,Tsim Sha Tsui, Kowloon.",RESIDENCE G,九龍尖沙咀柯士甸路2-2A號12-18字樓,2355 8888,,rm@residenceghongkong.com
H/4871,HOME OF FREE TRAVELERS,"Flat 11, 5/F,Sincere House,83 Argyle Street,Mong Kok, Kowloon.",自由行之家賓館,九龍旺角亞皆老街83號先施大廈5字樓11室,6408 3381,,
H/4872,MEI WAH GUESTHOUSE,"Flat G, 8/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",美華賓館,九龍旺角彌敦道739號金輪大廈8字樓G室,2393 6210,2395 4092,meiwah1986@netvigator.com
H/4873,SINCERITY HK,"Flat C, 1/F,Block 12, Bela Vista Villa,DD CC 1491, Cheung Chau.",SINCERITY HK,長洲長洲地段第1491號東堤小築12座1樓C室,9212 0636,,
H/4874,EMPIRE COMMERCIAL HOTEL,"Flat A & B, 15/F, Kim Tak Building,328-342A Nathan Road, Yau Ma Tei,Kowloon.",帝國商務酒店,九龍油麻地彌敦道328-342A號儉德大廈15字樓A & B室,2332 0616,3905 7684/2381 0680,booking@dynastyhtl.com.hk
H/4875,FISH BOAT RED HOTEL,"3/F-4/F, 200-202 Shanghai Street,Jordan, Kowloon.",漁船紅酒店,九龍佐敦上海街200-202號3-4字樓,24879939,,
H/4876,MIRA INN,"Flat F4, 8/F, Mirador Mansion,58 Nathan Road,Tsim Sha Tsui, Kowloon.",MIRA INN,九龍尖沙咀彌敦道58號美麗都大廈8字樓F4室,9747 9012,2771 8986/2153 9336,georgepannul8@yahoo.com
H/4878,FISHERMAN RED HOTEL,"1/F-2/F, 200-202 Shanghai Street,Jordan, Kowloon.",漁夫紅酒店,九龍佐敦上海街200-202號1-2字樓,2487 9939,2420 8099,
H/4880,RENDEZVOUS APARTMENT,"Flat 2, 15/F, Man Yuen Building,2-24 Man Yuen Street, Jordan,Kowloon.",客傳旅舍,九龍佐敦文苑街2-24 號文苑樓15字樓2室,5547 4724,,rendezvousapartment@gmail.com
H/4882,MOON GUESTHOUSE,"Flat D, 6/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",悅棧酒店,九龍旺角彌敦道739號金輪大廈6字樓D室,6310 5800,,alantse2008@live.hk
H/4883,寶翠賓館,"Flat 1, 8/F, Jade Mansion,40 Waterloo Road, Yau Ma Tei,Kowloon.",寶翠賓館,九龍油麻地窩打老道40號寶翠大樓8字樓1室,2156 2960,2770 5062,
H/4885,MOVE INN,"Flat 417 & Flat 419, 14/F, Overseas Building,417-421 Hennessy Road,Wan Chai, Hong Kong.",投棧,香港灣仔軒尼詩道417-421號海外大廈14字樓417及419室,3541 5271,,candyng615@hotmail.com
H/4886,GRAND INN,"Flat F, 11/F,Golden Crown Court,68 Nathan Road, Tsim Sha Tsui, Kowloon.",格蘭舍,九龍尖沙咀彌敦道68號金冠大廈11字樓F室,2312 7108,2312 7171,seasonshotelhk@gmail.com
H/4887,SHANGHAI HOSTEL HK,"Flat E4, Block E,5/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",SHANGHAI HOSTEL HK,九龍尖沙咀彌敦道40號重慶大廈E座5字樓E4室,,,
H/4889,GLOBAL HOLIDAY HOME,"Flat A, 15/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",萬成假日賓館,香港銅鑼灣利園山道70號鳳鳴大廈15字樓A室,2570 6888,2570 6222,wanlihotel@gmail.com
H/4893,SO HOME APARTMENTS ,"5/F, 307-309 Lai Chi Kok Road,Sham Shui Po, Kowloon.",蘇豪華庭,九龍深水埗茘枝角道307-309號5字樓,3151 9600,2420 8099,
H/4895,KAM DO GUEST HOUSE,"Flat 1, 4/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",金都賓館,九龍油麻地彌敦道385號平安大樓4字樓1室,2458 9000,2970 0808,
H/4897,SO INN ,"1/F, 307-309 Lai Chi Kok Road,Sham Shui Po,Kowloon",蘇豪雅軒,九龍深水埗茘枝角道307-309號1字樓,3899 0500,3188 5672,
H/4898,SO HOME ,"7/F, 307-309 Lai Chi Kok Road,Sham Shui Po, Kowloon.",蘇豪宅,九龍深水埗茘枝角道307-309號7字樓,3899 0500,3188 5672,
H/4899,EVERYDAY BOUTIQUE HOTEL,"Flat 25, 4/F, Yip Cheung Building,4-16 Hill Road, Shek Tong Tsui, Hong Kong.",天天精品酒店,香港石塘咀山道4-16號業昌大廈4字樓25室,9421 4691,,
H/4900,WING ON HOTEL,"Flat D, 5/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",永安賓館,九龍旺角彌敦道739號 金輪大廈5字樓D室,9026 9070,3597 6126,
H/4901,ROCA GUEST HOUSE ,"Flat A, 5/F, Woosung House,127 Woosung Street, Jordan,Kowloon.",樂家賓館,九龍佐敦吳松街127號吳淞大樓5字樓A室,,2633 3846,
H/4902,SO INN ONE,"3/F, 307-309 Lai Chi Kok Road,Sham Shui Po, Kowloon.",蘇豪雅軒壹,九龍深水埗茘枝角道307-309號3字樓,3899 0500,3188 5672,
H/4903,名都酒店,"Flat 2601, 26/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",名都酒店,九龍旺角彌敦道607號新興大廈26字樓2601室,9195 3001,,chriscc33@gmail.com
H/4904,康乃馨旅館,"Flat 7, 13/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",康乃馨旅館,九龍油麻地彌敦道385號平安大樓13字樓7室,6061 2471,,
H/4905,I TOP GUEST HOUSE,"Flat 4, 14/F, Block C,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",頂好賓館,九龍尖沙咀彌敦道40號重慶大廈C座14字樓4室,3996 7647,2367 4569,
H/4906,MAY FAIR GUEST HOUSE,"Flat A1, 9/F, Block A,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",萬利賓館,九龍尖沙咀彌敦道58號美麗都大廈A座9字樓A1室,2882 7777,2723 8233,
H/4907,MEI HAO BOUTIQUE HOTEL,"Flat E1,14/F, Block E,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",美豪精品酒店,九龍尖沙咀彌敦道58號美麗都大廈14字樓E座E1室,3565 5315,,
H/4910,GOOD INN,"4/F, Long Wah Building,21 Lock Road, Tsim Sha Tsui, Kowloon.",好意旅館,九龍尖沙咀樂道21號龍華大廈4字樓,6636 4886,,
H/4911,KAM DO GUEST HOUSE,"Flat 4, 4/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",金都賓館,九龍油麻地彌敦道385號平安大樓4字樓4室,2458 9000,2970 0808,
H/4912,KAM DO GUEST HOUSE,"Flat 3, 4/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",金都賓館,九龍油麻地彌敦道385號平安大樓4字樓3室,2458 9000,2970 0808,
H/4914,JAO TSUNG-I ACADEMY,"G/F-1/F, Block A, B, C, D & E,800 Castle Peak Road,Lai Chi Kok, Kowloon.",饒宗頤文化館,"九龍荔枝角青山道800號A, B, C, D 及 E 座地下至1字樓",2100 2888,2100 2999,
H/4915,MODERN ,"Flat D1, Block D,14/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",MODERN ,九龍尖沙咀彌敦道58號美麗都大廈D座14字樓D1室,5537 5756,2739 8100,sleepinhotel@gmail.com
H/4916,MIRA MOON,"388 Jaffe Road, Wan Chai, Hong Kong.",MIRA MOON,香港灣仔謝霏道388號,2643 8888,2643 8911,enquiry@miramoonhotel.com
H/4921,TIANJIN HOSTEL,"Flat D, 2/F, Hoi To Court,275 Gloucester Road,Causeway Bay, Hong Kong.",天津賓館,香港銅鑼灣告士打道275號海都大廈2字樓D室,2392 6868,2576 7509,hosteltb@yahoo.com.hk
H/4928,OCEAN SKY RESORT,"G/F,22 Chung Hing San Street,Cheung Chau.",海天渡假屋,長洲中興新街22號地下,9304 3163,2512 2493,
H/4931,FULL HARVEST INN,"Flat 18, 4/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",富田賓館,九龍旺角西洋菜南街14-24號榮華大樓4字樓18室,2668 9296,,
H/4933,BOUTIQUE 1946 HOSTEL,"Flat A, 8/F, Majestic House,80 Nathan Road,Tsim Sha Tsui, Kowloon.",精品旅館,九龍尖沙咀彌敦道80號金鑾大廈8字樓A室,2367 3332,2367 3788,bennyleeck@hotmail.com.hk
H/4935,HOTEL SKYLARK,"Flat E4, 16/F, Block E,Chungking Mansion, 40 Nathan Road,Tsim Sha Tsui, Kowloon.",HOTEL SKYLARK,九龍尖沙咀彌敦道40號重慶大廈E座16字樓E4室,2369 1933,2723 7960,sales@hotelskygroup.com
H/4936,LI CHENG GUESTHOUSE,"Flat B8, 8/F, Block B,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",茘城賓館,九龍尖沙咀彌敦道40號重慶大廈B座8字樓B8室,3597 3020,,
H/4940,XING XING HOTEL,"Flat 8, 12/F, Sincere House,83 Arygle Street, Mong Kok,Kowloon.",鑫鑫賓館,九龍旺角亞皆老街83號先施大廈12字樓8室,3640 9167,3167 8180,
H/4941,MONG KING GUESTHOUSE,"Flat 2105,21/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",旺景賓館,九龍旺角彌敦道607號新興大廈21字樓2105室,6060 9733,2539 7677,mongkinghotel@yahoo.com.hk
H/4948,KMB HOSTEL LIMITED,"Flat C, 8/F, Majestic House,80 Nathan Road,Tsim Sha Tsui, Kowloon.",九巴旅館有限公司,九龍尖沙咀彌敦道80號金鑾大廈8字樓C室,6768 7101,,
H/4953,XIA MEN GUEST HOUSE,"Flat C2, 5/F, Block C,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",夏門賓館,九龍尖沙咀彌敦道58號美麗都大廈C座5字樓C2室,9809 2326,,liaoyanpingphilip@gmail.com
H/4955,龍祥旅館,"Flat 1411, 14/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",龍祥旅館,九龍旺角亞皆老街83號先施大廈14字樓1411室,2787 5934,2787 5495,1406@ahshanhostel.com
H/4956,COMFORT GUEST HOUSE,"Flat E5, 9/F, Block E,Chungking Mansion, 40 Nathan Road,Tsim Sha Tsui, Kowloon.",安逸賓館,九龍尖沙咀彌敦道40號重慶大廈E座9字樓E5室,2151 9028,3585 3905,comfortguesthouse1@gmail.com
H/4958,MING SHING GUESTHOUSE LIMITED,"Flat F, 7/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",銘城賓館有限公司,香港銅鑼灣利園山道70號鳳鳴大廈7字樓F室,5499 7786,,booking.mingshing@gmail.com
H/4961,SATISFY GUEST HOUSE,"Flat B4, 5/F, Block B,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",合意賓舘,九龍尖沙咀彌敦道58號美麗都大廈B座5字樓B4室,2312 0256,2312 0252,
H/4962,LEGEND GUEST HOUSE,"Flat A&B, 12/F, Harilela Mansion,81 Nathan Road, Tsim Sha Tsui, Kowloon.",LEGEND GUEST HOUSE,九龍尖沙咀彌敦道81號喜利大廈12字樓A&B室,3620 3825,2111 4508,
H/4963,HONG KONG PREMIUM GUEST HOUSE,"Flat A5&B2, 16/F, Block A & Block B,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",HONG KONG PREMIUM GUEST HOUSE,九龍尖沙咀彌敦道58號美麗都大廈A座及B座16字樓A5&B2室,2732 2666,2368 4526,accounts@premiumguesthouse.com
H/4964,MODERN INN,"Flat A15, 9/F, Block A,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",萬達賓館,九龍尖沙咀彌敦道58號美麗都大廈A座9字樓A15室,2715 1234,,
H/4966,PEARL HARBOUR HOTEL,"Flat H, 11/F,Golden Crown Court,68 Nathan Road, Tsim Sha Tsui, Kowloon.",PEARL HARBOUR HOTEL,九龍尖沙咀彌敦道68號金冠大廈11字樓H座,5585 3990,,samballani994@gmail.com
H/4967,OXFORD PREMIUM GUEST HOUSE,"Flat A2, 16/F, Block A,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",OXFORD PREMIUM GUEST HOUSE,九龍尖沙咀彌敦道58號美麗都大廈A座16字樓A2室,2732 2666,2368 4526,accounts@premiumguesthouse.com
H/4968,YOU HOSTEL,"Flat B, 12/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",裕東賓館,九龍旺角彌敦道739號金輪大廈12字樓B室,9548 4068,,
H/4969,SAN DIEGO GUESTHOUSE,"Flat 309, 3/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",聖地牙哥旅館,九龍旺角亞皆老街83號先施大廈3字樓309室,9477 8812,,searisehotel@gmail.com
H/4970,HAPPY BEE HOSTEL,"Flat D4, 13/F, Block D,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",悅點精品旅館,九龍尖沙咀彌敦道40號重慶大廈D座13字樓D4室,,3585 3905,
H/4971,HOSTEL ROMA H. K.,"Flat 44, 4/F, Hang Lung Mansion,44 Dundas Street,Yau Ma Tei, Kowloon.",香港羅馬賓館,九龍油麻地登打土街44號恒隆大廈4字樓44室,,,
H/4972,HONG KONG HOTEL,"Flat 2203, 22/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",香港旅館,九龍旺角彌敦道607號新興大廈22字樓2203室,2151 0721,2374 0278,hk63562188@yahoo.com.hk
H/4973,BLESSING GUESTHOUSE,"Flat 1809, 18/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",幸福旅館,九龍旺角彌敦道607號新興大廈18字樓1809室,6977 0058,3549 7447,hau1328@gmail.com
H/4976,GOLDEN HOLIDAY HOTEL,"Flat E, 2/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",金龍假日賓館,九龍旺角彌敦道739號金輪大廈2字樓E室,2789 8186,2749 5629,
H/4977,HARBOUR BAY HOTEL,"G/F-19/F, 1-3 Minden Avenue,Tsim Sha Tsui, Kowloon.",維港灣酒店,九龍尖沙咀棉登徑1-3號地下至19字樓,2154 7933,2154 7988,info@harbourbayhotel.com
H/4982,VIENNA HOTEL,"Flat A & B, 3/F, 2 Tak Hing Street,Jordan, Kowloon.",維也納酒店,九龍佐敦德興街2號3字樓A及B室,2714 4112,,
H/4983,HOLLAND GUEST HOUSE,"Flat D6, 15/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",HOLLAND GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座15字樓D6室,2116 2570,2116 2572,
H/4986,BERLIN BUSINESS GUESTHOUSE,"Flat 916, 9/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",柏林商務賓館,九龍旺角亞皆老街83號先施大廈9字樓916室,6312 3608,,huangfanny1972@yahoo.com.hk
H/4988,EXCEL GUEST HOUSE,"Flat C5, 9/F, Block C,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",EXCEL GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈C座9字樓C5室,2721 2900,2111 4508,sandhuhotelhk@gmail.com
H/4989,WU ZHOU GUESTHOUSE,"Flat B3, 4/F, Block B,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",五洲旅館,九龍尖沙咀彌敦道58號美麗都大廈B座4字樓B3室,2367 2909,,
